date,mean_bias_abc,mean_bias_lstm,mean_abs_bias_abc,mean_abs_bias_lstm,se_bias_abc,se_bias_lstm,abc_q025,abc_q975,lstm_q025,lstm_q975,coverage_abc,coverage_lstm
0,0,0,0,0,0,0,45,174,45,174,95.39999999999999,95.39999999999999
1,0.522,0.313,11.236,8.623,1.2867008646593487,0.3581554219976382,51.975,253,55,256.04999999999995,95.39999999999999,94
2,4.455,1.267,26.683,16.013,5.705028950875739,0.6792459687669012,57.975,396.025,61,412.1999999999998,95.3,94.8
3,4.33,2.714,43.234,24.906,7.168948383195469,1.121703357587211,65.975,634.2499999999998,68.975,669.2499999999998,94.5,94.5
4,-0.891,5.369,62.157,36.513,7.578596720188194,1.7249180215828177,70,987.05,71,1070.0749999999998,95,95.5
5,-12.108,8.517,85.648,50.981,8.4513132134024609,2.4813187327817547,76,1447.1749999999988,78,1584.8999999999992,94.39999999999999,94.89999999999999
6,-27.391,12.986,111.065,65.646,9.817024502826154,3.2158232730240828,80.975,2087.125,82.97500000000001,2275.5249999999996,94.89999999999999,95.6
7,-43.431,16.462,136.471,79.036,11.366288301321093,3.7281104280001367,87,2606.8999999999996,89.975,2933.074999999999,93.60000000000001,94.69999999999999
8,-56.497,17.918,154.511,88.48,12.306043665683204,4.013427073321861,90.97500000000001,3133,95.975,3447.325,93.30000000000001,94.8
9,-62.078,15.83,161.606,93.314,12.486673493406117,4.150045056860705,95.975,3353.1749999999997,101.95,3667.325,93,94.6
10,-62.025,11.597,160.087,97.479,12.130943498556292,4.311152354722068,100.975,3597.3749999999995,102.95000000000002,3688.749999999999,94,94.3
11,-56.019,7.794,155.647,100.024,11.461107871084392,4.389060197059663,107,3537.1749999999997,109.95,3688.774999999999,93.4,94.1
12,-46.875,3.303,150.701,102.357,10.703727442165002,4.423874077418214,114,3540.2999999999997,106.95000000000002,3600.325,93.8,94.8
13,-38.587,-0.486,149.111,101.676,9.940487902046396,4.400970159219708,116.925,3541.5249999999996,116.925,3642.4499999999994,93.60000000000001,94.5
14,-28.144,-3.23,146.692,98.282,9.199614566500717,4.319843996274884,116,3518.025,121.92500000000001,3551.225,94.19999999999999,94
15,-20.967,-6.443,141.287,97.049,8.455892976914802,4.247009281699163,120.975,3540.1,123.975,3507.25,95,94.3
16,-13.066,-6.055,136.63,95.097,7.749197617025114,4.130390793024687,125.95,3526.325,125.9,3572.1749999999997,94.6,94.8
17,-6.349,-6.571,132.273,92.883,7.084484817128493,4.054752023610441,128.925,3409.1499999999987,127,3558.7,94.19999999999999,95
18,-1.766,-7.083,126.452,90.519,6.480167885156974,3.952263971637206,127,3472.224999999999,132.975,3558.025,94.69999999999999,95
19,3.272,-7.097,119.36,87.251,5.950236073075196,3.835525106663212,129.95,3489.125,136.95,3466.075,95.19999999999999,94.89999999999999
20,6.614,-7.412,116.13,85.156,5.542342515991281,3.7275046004728885,135,3374.4749999999985,135.975,3360.1499999999996,94.8,94.6
21,9.726,-7.481,110.968,81.907,5.160059218181041,3.5761409960211896,133.97500000000002,3310,141,3310.074999999999,94.8,94.5
22,11.661,-7.842,107.077,79.258,4.880327824919006,3.450095969418561,138.95000000000002,3275.7749999999996,144.925,3303.575,94.69999999999999,94.5
23,12.944,-6.349,103.344,76.101,4.685733983803068,3.3115506287186016,141.95000000000002,3330.2,138.95000000000002,3269.075,94.3,94.19999999999999
24,13.143,-6.097,99.107,73.239,4.479341139949943,3.21189848576864,133.97500000000002,3203.5999999999995,122.97500000000001,3269.0499999999997,93.8,94.69999999999999
25,13.685,-6.158,97.857,72.06,4.390142722979303,3.1457849575263404,129.975,3084.2749999999987,105,3138.999999999999,92.4,94.8
26,13.297,-6.724,95.107,69.444,4.280365909980516,3.0623150715753593,113.975,3023.15,86,3014.5,92.30000000000001,95.3
27,13.142,-6.558,91.642,67.26,4.140707342144974,3.009327281418006,99.92500000000001,2853.7999999999993,67,2931.075,91.10000000000001,96
28,13.947,-5.652,88.243,66.172,4.004066275392772,2.9842423826825124,77,2763.4999999999995,55.87500000000001,2832.025,92.5,95.89999999999999
29,13.544,-4.737,85.718,63.779,3.913825506342113,2.9122419171463045,64.975,2672.9249999999993,43.975,2726.45,92.4,95.8
30,13.339,-4.952,83.613,62.088,3.8276887648136024,2.8698738425010726,52,2600.2,35.975,2603.6999999999994,92.5,95.8
31,11.931,-5.008,80.335,59.804,3.7297803555304037,2.806109796174802,41.975,2508.2749999999996,28.975,2470.05,92.4,95.7
32,12.012,-3.762,76.988,57.802,3.616909438994829,2.7378961688550993,34,2398.4249999999997,22,2366.6749999999997,92.4,95.89999999999999
33,11.587,-3.973,74.989,56.385,3.539066461995652,2.6930515772628265,26,2275.7999999999993,16,2259.15,92.4,95.3
34,10.346,-3.834,72.566,54.742,3.4643926307940762,2.6248730259580944,20,2183.075,13,2140.3499999999995,92.80000000000001,95.19999999999999
35,9.953,-3.28,70.265,53.176,3.354431845186902,2.5798199687325223,15.975000000000001,2063.175,9.975000000000001,2065.2249999999995,92.60000000000001,95.5
36,9.214,-2.317,67.466,51.101,3.2499760843040906,2.509835409899379,12.975000000000001,1929.2499999999995,8,1982.05,92.30000000000001,95.39999999999999
37,8.545,-1.85,64.721,49.688,3.146830233030615,2.4574781176439187,9.975000000000001,1870.7249999999995,6,1892.025,92.60000000000001,95.39999999999999
38,8.067,-0.912,62.463,48.078,3.065399678049534,2.4065152340202567,7,1809.2749999999996,4,1796.5249999999996,93.7,95.89999999999999
39,7.367,-0.874,59.935,46.322,2.957031678448398,2.3293840718426306,5,1750.1749999999988,4,1742.125,94.19999999999999,94.89999999999999
40,6.97,0.129,57.686,43.955,2.8694614318559695,2.2542044709379843,4,1713.049999999999,3,1672.4249999999988,93.89999999999999,95
41,6.568,0.47400000000000003,55.16,42.226,2.76748773517867,2.1987883013137015,3,1709,2,1634.2749999999996,95.3,95.8
42,5.693,1.111,53.731,40.535,2.71482873235975,2.1248147016896595,3,1609.1,1.9750000000000014,1593.1,93.30000000000001,95.3
43,5.338,1.328,51.72,39.35,2.6193519734393775,2.071113209345623,2,1562.125,1,1538.1,94.3,96.5
44,4.756,1.684,49.48,38.136,2.5456596093835575,2.0313238098393915,1.9750000000000014,1508.1,1,1514.4249999999997,93.2,96.39999999999999
45,4.531,2.31,47.659,37.048,2.486857353870241,1.9855105520122909,1,1439.5499999999997,1,1471.0500000000002,95.1,95.6
46,3.994,2.578,45.364,36.36,2.4124883552183345,1.9472785650260236,0.9750000000000014,1400.3249999999998,0,1425.1749999999997,94.6,97.89999999999999
47,3.628,2.743,43.768,34.837,2.3620709123552994,1.8822507321870854,0,1345.1999999999998,0,1394.2499999999998,97.7,97.89999999999999
48,3.149,3.282,42.399,33.3,2.321471953530999,1.8316231379078283,0,1276.2499999999998,0,1330.2499999999998,97.1,98
49,2.541,3.592,41.237,32.074,2.266104045834292,1.7902487331447903,0,1269.2499999999995,0,1287.15,97.8,97.8
50,1.388,3.284,39.484,31.71,2.224056627850083,1.7719710001084175,0,1218.1999999999998,0,1236.3499999999997,97.6,97.7
51,0.8150000000000001,3.286,38.423,30.448,2.195912294652454,1.7448904970933983,0,1174.3749999999995,0,1196.3999999999996,97.5,97.6
52,0.28099999999999997,3.4,37.257,28.994,2.1666107728988244,1.6914724588591679,0,1153.5249999999994,0,1151.125,97.6,97.6
53,-0.342,3.316,36.504,28.064,2.1336164967855296,1.6499504478863845,0,1112.4749999999995,0,1136,97.5,97.8
54,-0.8190000000000001,3.058,35.725,27.194,2.106655699737676,1.61063303541644,0,1088.125,0,1077.3499999999995,97.6,97.5
55,-1.296,3.185,34.648,26.241,2.080810456566421,1.573239287857018,0,1021.2749999999997,0,1040.2749999999996,97.5,97.5
56,-1.822,3.267,33.934,25.671,2.0763220919282803,1.5514176122526158,0,991.5999999999995,0,1022.1249999999999,97.39999999999999,97.6
57,-1.945,3.237,33.555,24.455,2.075486357126594,1.4962050195278922,0,956.1249999999999,0,991.025,97.2,97.6
58,-2.236,3.366,33.122,23.988,2.0762705033793654,1.4748149453823431,0,917.05,0,989.05,97.1,97.89999999999999
59,-2.486,3.565,32.478,23.295,2.06183097050921,1.446459823507387,0,880.025,0,959.4249999999996,96.8,97.8
60,-2.636,3.34,31.896,22.466,2.0490070604890396,1.4065143734362202,0,839.9999999999991,0,921.5499999999995,96.7,97.8
